,sc_id,supercon_formula,cleaned_formula,material_dict,highest_Tc,average_Tc,std_Tc,entry_count,composition
1159,[22971],La1Fe1As1H0.15,La1Fe1As1H0.15,"{'As': 1.0, 'Fe': 1.0, 'H': 0.15, 'La': 1.0}",27.5,27.5,0.0,1,La1 Fe1 As1 H0.15
1160,[24232],Sm1Fe1As1H0.19O0.81,Sm1Fe1As1H0.19O0.81,"{'As': 1.0, 'Fe': 1.0, 'H': 0.19, 'O': 0.81, 'Sm': 1.0}",55.3,55.3,0.0,1,Sm1 Fe1 As1 H0.19 O0.81
1161,[23772],La1Fe1As1H0.21O0.79,La1Fe1As1H0.21O0.79,"{'As': 1.0, 'Fe': 1.0, 'H': 0.21, 'La': 1.0, 'O': 0.79}",17.8,17.8,0.0,1,La1 Fe1 As1 H0.21 O0.79
1162,[24254],Sm1Fe1As1H0.22O0.78,Sm1Fe1As1H0.22O0.78,"{'As': 1.0, 'Fe': 1.0, 'H': 0.22, 'O': 0.78, 'Sm': 1.0}",50.0,50.0,0.0,1,Sm1 Fe1 As1 H0.22 O0.78
1163,[23775],La1Fe1As1H0.24O0.76,La1Fe1As1H0.24O0.76,"{'As': 1.0, 'Fe': 1.0, 'H': 0.24, 'La': 1.0, 'O': 0.76}",30.1,30.1,0.0,1,La1 Fe1 As1 H0.24 O0.76
1164,[25542],La1Fe1As1H0.25O0.75,La1Fe1As1H0.25O0.75,"{'As': 1.0, 'Fe': 1.0, 'H': 0.25, 'La': 1.0, 'O': 0.75}",15.4,15.4,0.0,1,La1 Fe1 As1 H0.25 O0.75
1165,"[23779, 23995]",Sm1Fe1As1H0.25O0.75,Sm1Fe1As1H0.25O0.75,"{'As': 1.0, 'Fe': 1.0, 'H': 0.25, 'O': 0.75, 'Sm': 1.0}",55.0,54.85,0.15,2,Sm1 Fe1 As1 H0.25 O0.75
1166,[25544],La1Fe1As1H0.3O0.3,La1Fe1As1H0.3O0.3,"{'As': 1.0, 'Fe': 1.0, 'H': 0.30000000000000004, 'La': 1.0, 'O': 0.30000000000000004}",35.0,35.0,0.0,1,La1 Fe1 As1 H0.3 O0.3
1167,[23773],La1Fe1As1H0.3O0.7,La1Fe1As1H0.3O0.7,"{'As': 1.0, 'Fe': 1.0, 'H': 0.30000000000000004, 'La': 1.0, 'O': 0.7000000000000001}",38.0,38.0,0.0,1,La1 Fe1 As1 H0.3 O0.7
1168,[22024],Sm1Fe1As1H0.3O0.6,Sm1Fe1As1H0.3O0.6,"{'As': 1.0, 'Fe': 1.0, 'H': 0.30000000000000004, 'O': 0.6000000000000001, 'Sm': 1.0}",51.4,51.4,0.0,1,Sm1 Fe1 As1 H0.3 O0.6
